Bootcamp Course,Bootcamp Format,Bootcamp Year,Bootcamp Start Date,Campus - Timezone,Created Date,Close Date,Stage,Discount Amount (converted),Scholarship Amount (converted),Amount (converted),Net Amount With VAT (converted),Drop,Drop Reason,how did you hear about us?,Person Account: Gender,Stage Duration
WD,PT,2018,2018-05-22,PAR,2018-01-05,2018-06-20,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,Social Media,Male,952.0
WD,FT,2020,2020-09-14,RMT-Europe,2020-03-09,2020-09-30,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,google,Male,11.0
WD,FT,2018,2018-08-01,PAR,2017-09-11,2017-11-28,Closed lost,0.0,0.0,6500.0,6500.0,0,Not specified,google,Male,1125.0
WD,FT,2021,2021-11-01,SAO,2020-09-11,2020-09-11,Closed lost,400.0,0.0,4000.0,3600.0,0,Not specified,Social Media,Female,22.0
WD,FT,2018,2018-10-15,SAO,2018-07-17,2018-11-09,Closed lost,0.0,0.0,3764.71,3764.71,0,Not specified,other,Male,875.0
UX,FT,2018,2018-11-06,MEX,2018-01-05,2018-05-15,Closed lost,23.04,0.0,3225.81,3202.76,0,Not specified,google,Male,952.0
WD,FT,2020,2020-09-14,RMT-Europe,2020-08-16,2020-09-30,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,switchup,Male,83.0
WD,FT,2018,2018-08-01,BCN,2017-09-11,2017-12-13,Paid Deposit,0.0,0.0,6500.0,6500.0,0,Not specified,courseReport,Male,1125.0
UX,PT,2020,2020-08-01,SAO,2019-08-29,2019-09-24,Closed lost,0.0,0.0,4000.0,4000.0,0,Not specified,Social Media,Female,441.0
WD,FT,2018,2018-10-15,SAO,2018-07-17,2018-09-19,Closed lost,0.0,0.0,3764.71,3764.71,0,Not specified,Social Media,Male,875.0
UX,FT,2018,2018-11-06,MEX,2018-01-05,2018-05-15,Closed lost,23.04,0.0,3225.81,3202.76,0,Not specified,google,Male,952.0
WD,FT,2018,2018-01-22,MEX,2017-09-11,2017-12-30,Closed lost,0.0,0.0,3225.81,3225.81,0,Not specified,Social Media,Male,1125.0
WD,FT,2018,2018-08-10,BER,2018-07-17,2018-07-19,Closed lost,500.0,0.0,6500.0,6000.0,0,Not specified,google,Male,875.0
WD,PT,2018,2018-09-10,BER,2018-01-05,2018-12-07,Closed lost,0.0,0.0,6500.0,6500.0,0,Not specified,Referral,Male,952.0
WD,FT,2017,2017-08-28,MIA,2017-03-04,2018-10-04,Closed lost,0.0,0.0,9734.51,9734.51,0,Not specified,courseReport,Male,1345.0
WD,FT,2020,2020-03-23,MAD,2019-08-29,2020-02-17,Closed lost,0.0,0.0,7000.0,5950.0,0,Not specified,other,Female,335.0
WD,FT,2018,2018-03-19,MAD,2017-11-28,2018-01-24,Paid Deposit,650.0,0.0,6500.0,5850.0,0,Not specified,Social Media,Male,1106.0
WD,FT,2020,2020-09-14,RMT-Europe,2020-08-15,2020-09-30,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,google,Male,11.0
WD,FT,2017,2017-07-31,MIA,2017-02-24,2017-06-04,Closed lost,0.0,0.0,9734.51,9734.51,0,Not specified,Referral,Male,1383.0
WD,FT,2018,2018-08-01,MAD,2017-11-28,2018-03-13,Closed lost,0.0,0.0,6500.0,6500.0,0,Not specified,Social Media,Male,1106.0
DA,FT,2020,2020-08-17,MAD,2020-04-24,2020-06-30,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,Female,222.0
WD,FT,2017,2017-10-16,MAD,2017-02-24,2017-04-17,Paid Deposit,0.0,0.0,6500.0,6500.0,0,Not specified,Referral,Male,1383.0
WD,FT,2019,2019-10-21,MAD,2019-04-09,2019-09-26,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,google,Male,439.0
DA,FT,2020,2020-03-23,PAR,2020-01-15,2020-03-31,Closed lost,0.0,0.0,7500.0,6375.0,0,Not specified,google,Male,323.0
WD,FT,2018,2018-11-06,BCN,2017-11-28,2019-02-04,Paid Deposit,0.0,0.0,6500.0,6500.0,0,Not specified,Referral,Male,550.0
WD,FT,2020,2020-12-10,LIS,2020-07-17,2020-09-30,Closed lost,0.0,0.0,6500.0,6500.0,0,Not specified,google,Male,112.0
UX,FT,2019,2019-10-21,LIS,2019-04-09,2019-09-30,Closed lost,0.0,0.0,6000.0,6000.0,0,Not specified,newspaper_or_magazine,Male,382.0
WD,FT,2020,2020-02-17,BCN,2020-01-15,2020-03-31,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,Male,306.0
WD,FT,2017,2017-05-29,MIA,2017-02-24,2017-06-04,Closed lost,0.0,0.0,9734.51,9734.51,0,Not specified,other,Male,1383.0
WD,FT,2020,2020-03-23,PAR,2020-01-15,2020-03-31,Closed lost,0.0,0.0,8000.0,6800.0,0,Not specified,Social Media,Male,299.0
WD,FT,2018,2018-10-22,MIA,2018-04-23,2018-07-17,Closed lost,0.0,0.0,9734.51,9734.51,0,Not specified,switchup,Male,960.0
WD,FT,2018,2018-08-01,BCN,2017-11-28,2018-09-01,Closed lost,1000.0,0.0,6500.0,5500.0,0,Not specified,Referral,Female,1106.0
WD,FT,2017,2017-05-29,MIA,2017-02-24,2017-03-14,Closed lost,884.96,0.0,9734.51,8849.56,0,Not specified,google,Male,1383.0
WD,PT,2020,2020-08-01,SAO,2019-04-09,2019-09-24,Closed lost,0.0,0.0,4000.0,4000.0,0,Not specified,Social Media,Female,441.0
UX,FT,2020,2020-01-06,MAD,2020-03-27,2020-03-31,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,other,Female,252.0
WD,PT,2018,2018-08-05,BCN,2018-04-23,2018-04-26,Paid Deposit,750.0,0.0,7500.0,6750.0,0,Not specified,other,Female,960.0
WD,FT,2018,2018-08-01,PAR,2017-11-28,2018-04-25,Closed lost,1000.0,0.0,6500.0,5500.0,0,Not specified,Challenge,Female,1106.0
WD,FT,2020,2020-10-19,SAO,2020-07-17,2020-08-19,Paid Deposit,941.18,0.0,4000.0,3058.82,0,Not specified,other,Female,111.0
UX,FT,2017,2017-12-06,BCN,2017-02-24,2017-04-20,Closed lost,0.0,0.0,6500.0,6500.0,0,Not specified,Social Media,Female,1383.0
WD,FT,2019,2019-10-21,MIA,2019-04-09,2019-09-17,Closed lost,0.0,0.0,10176.99,10176.99,0,Not specified,google,Female,448.0
UX,FT,2020,2020-03-23,PAR,2020-01-15,2020-03-31,Closed lost,0.0,0.0,8000.0,6800.0,0,Not specified,other,Female,295.0
UX,FT,2018,2018-11-06,BCN,2018-04-23,2018-04-26,Paid Deposit,2000.0,0.0,6500.0,4500.0,0,Not specified,Social Media,Female,960.0
WD,FT,2018,2018-01-22,MEX,2017-11-28,2018-04-01,Closed lost,0.0,0.0,3225.81,3225.81,0,Not specified,Blog,Male,1106.0
DA,FT,2020,2020-09-11,PAR,2020-07-17,2020-09-30,Closed lost,0.0,0.0,8000.0,8000.0,0,Not specified,Social Media,Male,144.0
UX,FT,2017,2017-10-16,MAD,2017-02-28,2017-08-16,Closed lost,0.0,0.0,6500.0,6500.0,0,Not specified,google,Male,1379.0
WD,FT,2019,2019-11-18,SAO,2019-04-09,2019-09-24,Closed lost,0.0,0.0,4000.0,4000.0,0,Not specified,Social Media,Male,441.0
DA,FT,2020,2020-03-23,PAR,2020-01-15,2020-03-31,Closed lost,0.0,0.0,7500.0,6375.0,0,Not specified,Social Media,Male,306.0
WD,FT,2018,2018-09-17,BCN,2018-04-23,2018-04-25,Paid Deposit,2000.0,0.0,6500.0,4500.0,0,Not specified,other,Female,960.0
WD,FT,2018,2018-01-22,MIA,2017-11-28,2018-04-01,Paid Deposit,0.0,0.0,9734.51,9734.51,0,Not specified,Referral,Male,1106.0
WD,FT,2017,2017-08-28,MIA,2017-02-24,2017-10-03,Closed lost,309.73,0.0,9734.51,9424.78,0,Not specified,other,Female,1383.0
WD,FT,2019,2019-10-21,MIA,2019-04-09,2019-09-22,Closed lost,0.0,0.0,10176.99,10176.99,0,Not specified,Referral,Male,442.0
UX,FT,2020,2020-10-19,BER,2020-01-15,2020-10-20,Paid Deposit,2099.0,0.0,7500.0,5401.0,0,Not specified,Referral,Female,62.0
UX,FT,2018,2018-08-20,MAD,2018-04-23,2018-04-24,Paid Deposit,0.0,0.0,6500.0,6500.0,0,Not specified,other,Female,960.0
WD,FT,2018,2018-04-24,PAR,2017-11-28,2018-05-25,Paid Deposit,1650.0,0.0,6500.0,4850.0,0,Not specified,Challenge,Female,1106.0
DA,FT,2020,2020-10-19,BER,2020-05-09,2020-09-30,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,Social Media,Male,94.0
UX,FT,2017,2017-10-04,MIA,2017-02-25,2017-03-29,Paid Deposit,884.96,0.0,9734.51,8849.56,0,Not specified,other,Female,1382.0
WD,FT,2019,2019-10-21,MIA,2019-04-09,2019-09-17,Closed lost,0.0,0.0,10176.99,10176.99,0,Not specified,Social Media,Female,448.0
WD,FT,2020,2020-03-23,PAR,2020-01-15,2020-01-31,Paid Deposit,800.0,0.0,8000.0,7200.0,0,Not specified,switchup,Female,308.0
UX,FT,2018,2018-08-20,MAD,2018-04-23,2018-04-23,Paid Deposit,1500.0,0.0,6500.0,5000.0,0,Not specified,other,Female,960.0
UX,FT,2018,2018-11-06,MEX,2017-11-28,2019-10-05,Closed lost,0.0,0.0,3225.81,3225.81,0,Not specified,newspaper_or_magazine,Male,1106.0
DA,FT,2020,2020-10-19,BER,2020-05-09,2020-05-09,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,Social Media,Male,94.0
WD,FT,2017,2017-03-04,MAD,2017-02-24,2017-09-08,Closed lost,0.0,0.0,6500.0,6500.0,0,Not specified,other,Male,1383.0
DA,FT,2019,2019-09-23,AMS,2019-04-09,2019-09-23,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,Social Media,Male,442.0
DA,FT,2020,2020-03-23,MEX,2020-01-15,2020-03-31,Closed lost,0.0,0.0,4147.47,4147.47,0,Not specified,Social Media,Male,285.0
WD,PT,2018,2018-11-13,BCN,2018-04-23,2018-10-05,Closed lost,1500.0,0.0,7500.0,6000.0,0,Not specified,other,Female,960.0
UX,FT,2020,2020-08-17,MIA,2020-07-15,2020-09-30,Closed lost,0.0,0.0,11061.95,11061.95,0,Not specified,other,Male,137.0
WD,FT,2020,2020-06-01,PAR,2019-04-09,2019-09-16,Paid Deposit,300.0,0.0,7500.0,7200.0,0,Not specified,Referral,Male,449.0
WD,FT,2020,2020-10-19,BER,2020-01-15,2020-11-02,Paid Deposit,750.0,0.0,7500.0,6750.0,1,Personal matters,Social Media,Female,302.0
UX,PT,2018,2018-08-05,BCN,2018-04-23,2018-04-24,Paid Deposit,0.0,0.0,7500.0,7500.0,0,Not specified,IronhackEvent,Female,960.0
WD,PT,2018,2018-04-23,MEX,2017-11-28,2018-04-01,Closed lost,0.0,0.0,3225.81,3225.81,0,Not specified,Blog,Male,1106.0
WD,FT,2017,2017-03-04,BCN,2017-03-16,2018-10-09,Closed lost,0.0,0.0,6500.0,6500.0,0,Not specified,Referral,Male,1363.0
UX,FT,2020,2020-06-01,PAR,2019-04-09,2019-10-15,Closed lost,0.0,0.0,8000.0,8000.0,0,Not specified,google,Male,420.0
WD,PT,2020,2020-01-06,MIA,2020-01-21,2020-03-02,Closed lost,0.0,0.0,11504.42,11504.42,0,Not specified,IronhackEvent,Female,309.0
UX,FT,2018,2018-11-06,MAD,2018-04-23,2018-04-29,Paid Deposit,0.0,0.0,6500.0,6500.0,0,Not specified,other,Female,960.0
WD,PT,2018,2018-01-22,MIA,2017-11-28,2018-02-28,Closed lost,0.0,0.0,10176.99,10176.99,0,Not specified,Referral,Female,1106.0
WD,FT,2019,2019-10-14,BER,2019-09-09,2019-11-09,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,google,Female,454.0
DA,FT,2020,2020-03-23,BER,2020-01-21,2020-03-31,Closed lost,0.0,0.0,7500.0,6375.0,0,Not specified,google,Male,299.0
UX,PT,2018,2018-08-05,BCN,2018-04-26,2018-04-26,Paid Deposit,1500.0,0.0,7500.0,6000.0,0,Not specified,other,Female,957.0
WD,FT,2018,2018-11-06,MEX,2017-11-28,2018-04-01,Closed lost,0.0,0.0,3225.81,3225.81,0,Not specified,Blog,Male,1106.0
WD,FT,2018,2018-08-01,MAD,2017-10-25,2017-11-13,Closed lost,0.0,0.0,6500.0,6500.0,0,Not specified,Application form,Prefer not to disclose,1140.0
WD,FT,2020,2020-04-05,AMS,2020-01-23,2020-03-31,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,Social Media,Male,281.0
UX,PT,2018,2018-08-05,BCN,2018-04-23,2018-04-26,Paid Deposit,0.0,0.0,7500.0,7500.0,0,Not specified,other,Female,960.0
WD,FT,2018,2018-01-22,MEX,2017-11-28,2017-12-29,Paid Deposit,322.58,0.0,3225.81,2903.23,0,Not specified,Social Media,Female,1106.0
WD,FT,2020,2020-10-19,BER,2020-07-16,2020-09-30,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,Social Media,Male,11.0
UX,FT,2017,2017-12-06,MAD,2017-05-29,2017-05-29,Paid Deposit,0.0,0.0,6500.0,6500.0,0,Not specified,Referral,Female,1289.0
DA,FT,2020,2020-04-05,AMS,2019-09-09,2019-09-30,Closed lost,0.0,0.0,7000.0,7000.0,0,Can not afford the payment,Referral,Male,334.0
DA,FT,2020,2020-03-23,PAR,2020-01-23,2020-03-31,Closed lost,0.0,0.0,7500.0,6375.0,0,Not specified,Social Media,Female,295.0
WD,FT,2018,2018-09-17,BCN,2018-04-23,2018-04-30,Paid Deposit,0.0,0.0,6500.0,6500.0,0,Not specified,other,Female,960.0
WD,FT,2018,2018-11-06,MEX,2017-11-28,2018-04-01,Closed lost,0.0,0.0,3225.81,3225.81,0,Not specified,Social Media,Male,1106.0
WD,FT,2020,2020-09-28,BCN,2020-07-16,2020-09-30,Closed lost,700.0,0.0,7000.0,6300.0,0,Not specified,Referral,Female,77.0
WD,FT,2020,2020-04-13,LIS,2020-01-23,2020-02-18,Paid Deposit,0.0,0.0,6500.0,6500.0,0,Not specified,other,Male,294.0
WD,FT,2018,2018-08-20,MAD,2018-04-24,2018-04-25,Paid Deposit,1500.0,0.0,6500.0,5000.0,0,Not specified,other,Female,960.0
WD,FT,2018,2018-08-01,MAD,2017-11-28,2018-09-06,Closed lost,0.0,0.0,6500.0,6500.0,0,Not specified,google,Male,1106.0
UX,FT,2020,2020-10-19,BCN,2020-06-10,2020-06-10,Paid Deposit,1300.0,0.0,7000.0,5700.0,0,Not specified,other,Female,63.0
WD,FT,2017,2017-05-29,MIA,2017-10-04,2018-10-04,Closed lost,0.0,0.0,9734.51,9734.51,0,Not specified,Referral,Male,1338.0
WD,PT,2020,2020-07-01,AMS,2019-09-09,2019-10-22,Paid Deposit,0.0,0.0,7500.0,7500.0,0,Not specified,google,Male,414.0
WD,FT,2020,2020-03-23,PAR,2020-01-23,2020-03-31,Closed lost,0.0,0.0,8000.0,6800.0,0,Not specified,other,Male,315.0
UX,FT,2018,2018-11-06,MAD,2018-04-24,2018-04-26,Paid Deposit,0.0,0.0,6500.0,6500.0,0,Not specified,other,Female,960.0
WD,FT,2018,2018-08-01,BCN,2017-11-28,2017-12-12,Paid Deposit,1000.0,0.0,6500.0,5500.0,0,Not specified,google,Female,1106.0
UX,FT,2020,2020-10-19,BCN,2020-06-10,2020-06-10,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,other,Female,63.0
UX,FT,2019,2019-10-14,BER,2019-09-09,2019-09-21,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,google,Female,444.0
UX,PT,2020,2020-06-30,AMS,2020-01-23,2020-06-16,Paid Deposit,0.0,0.0,7500.0,7500.0,0,Not specified,google,Female,251.0
WD,FT,2018,2018-08-01,BCN,2017-11-13,2017-12-12,Closed lost,0.0,0.0,6500.0,6500.0,0,Not specified,Social Media,Male,1121.0
WD,FT,2018,2018-03-19,BCN,2017-12-27,2018-02-20,Closed lost,1000.0,0.0,6500.0,5500.0,0,Not specified,Referral,Female,1077.0
UX,FT,2017,2017-12-06,MAD,2017-10-04,2017-10-04,Paid Deposit,0.0,0.0,6500.0,6500.0,0,Not specified,other,Female,1338.0
UX,PT,2020,2020-04-28,MAD,2020-01-23,2020-03-31,Closed lost,0.0,0.0,7500.0,6375.0,0,Not specified,Social Media,Male,312.0
UX,FT,2018,2018-02-04,MIA,2017-11-13,2018-02-03,Closed lost,0.0,0.0,9734.51,9734.51,0,Not specified,google,Female,1121.0
WD,PT,2020,2020-10-20,RMT-Europe,2020-07-16,2020-09-30,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,Social Media,Male,140.0
WD,FT,2017,2017-08-14,MAD,2017-10-04,2017-11-04,Paid Deposit,650.0,0.0,6500.0,5850.0,0,Not specified,other,Female,1338.0
UX,FT,2019,2019-10-14,BER,2019-09-09,2019-09-20,Paid Deposit,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,Female,445.0
DA,FT,2020,2020-03-23,MEX,2020-01-27,2020-03-31,Closed lost,0.0,0.0,4147.47,4147.47,0,Not specified,Social Media,Male,285.0
UX,FT,2018,2018-01-29,BCN,2017-12-27,2018-09-01,Closed lost,0.0,0.0,6500.0,6500.0,0,Not specified,Referral,Male,1077.0
UX,FT,2017,2017-10-16,MAD,2017-10-04,2017-10-04,Paid Deposit,0.0,0.0,6500.0,6500.0,0,Not specified,other,Female,1338.0
WD,FT,2019,2019-11-18,SAO,2019-09-09,2019-09-30,Closed lost,0.0,0.0,4000.0,4000.0,0,Not specified,google,Female,435.0
DA,FT,2020,2020-03-23,MAD,2020-01-27,2020-03-31,Closed lost,0.0,0.0,7000.0,5950.0,0,Not specified,google,Female,287.0
UX,FT,2018,2018-01-22,MIA,2017-11-13,2018-10-04,Closed lost,0.0,0.0,9734.51,9734.51,0,Not specified,IronhackEvent,Male,1121.0
WD,PT,2018,2018-04-24,MAD,2017-12-27,2018-02-19,Closed lost,500.0,0.0,7500.0,7000.0,0,Not specified,Skillied,Male,1077.0
DA,FT,2021,2021-11-01,BER,2020-06-11,2020-07-12,Paid Deposit,2099.0,0.0,7500.0,5401.0,0,Not specified,Referral,Female,1.0
WD,FT,2017,2017-10-16,MAD,2017-10-04,2017-12-04,Paid Deposit,650.0,0.0,6500.0,5850.0,0,Not specified,Social Media,Female,1338.0
WD,FT,2020,2020-03-23,BER,2020-01-27,2020-03-31,Closed lost,0.0,0.0,7500.0,6375.0,0,Not specified,google,Male,284.0
WD,PT,2018,2018-01-22,MIA,2017-11-14,2017-12-05,Closed lost,1327.43,0.0,10176.99,8849.56,0,Not specified,Social Media,Male,1120.0
WD,FT,2018,2018-02-04,MEX,2017-12-28,2018-01-25,Closed lost,23.04,0.0,3225.81,3202.76,0,Not specified,Referral,Male,1076.0
WD,FT,2020,2020-09-14,RMT-Europe,2020-08-31,2020-08-31,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,quora,Male,11.0
DA,FT,2020,2020-01-13,MAD,2019-10-09,2019-10-22,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,google,Male,413.0
WD,FT,2020,2020-03-23,MAD,2020-01-27,2020-03-31,Closed lost,0.0,0.0,7000.0,5950.0,0,Not specified,Social Media,Female,308.0
UX,FT,2018,2018-01-29,MAD,2017-12-28,2018-07-01,Paid Deposit,0.0,0.0,6500.0,6500.0,0,Not specified,google,Male,1076.0
WD,FT,2020,2020-08-17,MIA,2020-07-16,2020-09-30,Closed lost,0.0,0.0,11061.95,11061.95,0,Not specified,google,Male,137.0
DA,FT,2020,2020-03-23,PAR,2020-01-27,2020-02-25,Paid Deposit,0.0,0.0,7500.0,6375.0,0,Not specified,google,Male,287.0
UX,FT,2018,2018-01-22,MIA,2017-11-14,2017-12-13,Closed lost,0.0,0.0,9734.51,9734.51,0,Not specified,google,Female,1120.0
WD,FT,2018,2018-08-01,PAR,2017-12-28,2017-12-28,Closed lost,0.0,0.0,6500.0,6500.0,0,Not specified,google,Male,1076.0
UX,FT,2020,2020-08-17,MIA,2020-07-16,2020-09-30,Closed lost,0.0,0.0,11061.95,11061.95,0,Not specified,Social Media,Male,145.0
WD,FT,2019,2019-10-21,MIA,2019-09-13,2019-09-22,Closed lost,0.0,0.0,10176.99,10176.99,0,Not specified,Social Media,Male,442.0
WD,FT,2020,2020-01-06,BER,2020-01-27,2020-03-31,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,Social Media,Male,243.0
WD,FT,2018,2018-01-22,MEX,2017-11-14,2018-11-01,Closed lost,460.83,0.0,3225.81,2764.98,0,Not specified,Social Media,Male,1120.0
UX,FT,2018,2018-01-29,BCN,2017-12-28,2018-01-17,Closed lost,1500.0,0.0,6500.0,5000.0,0,Not specified,Social Media,Female,1076.0
WD,FT,2020,2020-12-10,RMT-America,2020-07-17,2020-09-30,Closed lost,0.0,0.0,3539.82,3539.82,0,Not specified,Social Media,Male,134.0
UX,PT,2017,2017-09-13,BCN,2017-04-28,2017-06-16,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,other,Female,1320.0
WD,FT,2019,2019-10-21,MAD,2019-09-13,2019-09-27,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,google,Male,438.0
UX,FT,2020,2020-02-17,BCN,2020-01-27,2020-03-31,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,Male,316.0
WD,PT,2018,2018-01-22,MIA,2017-11-14,2018-04-01,Closed lost,575.22,0.0,10176.99,9601.77,0,Not specified,Referral,Male,1120.0
WD,PT,2018,2018-04-24,MAD,2017-12-28,2018-02-19,Closed lost,1000.0,0.0,7500.0,6500.0,0,Not specified,google,Female,1076.0
UX,FT,2019,2019-10-21,MAD,2019-09-13,2019-11-19,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,Female,385.0
UX,FT,2020,2020-02-17,BCN,2020-01-27,2020-03-31,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,Male,316.0
UX,FT,2018,2018-01-29,MAD,2017-12-28,2018-03-27,Closed lost,1000.0,0.0,6500.0,5500.0,0,Not specified,Referral,Male,1076.0
WD,FT,2020,2020-08-17,MIA,2020-07-17,2020-09-30,Closed lost,0.0,0.0,11061.95,11061.95,0,Not specified,google,Male,127.0
DA,FT,2020,2020-04-05,AMS,2020-01-29,2020-03-31,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,google,Female,281.0
UX,PT,2018,2018-04-24,BCN,2017-11-14,2018-06-07,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,Referral,Female,1120.0
WD,FT,2018,2018-02-04,MEX,2017-12-28,2018-03-15,Closed lost,0.0,0.0,3225.81,3225.81,0,Not specified,Social Media,Male,1076.0
WD,FT,2017,2017-10-16,MAD,2017-11-05,2017-12-19,Closed lost,0.0,0.0,6500.0,6500.0,0,Not specified,google,Male,1307.0
WD,FT,2019,2019-10-14,PAR,2019-09-13,2019-09-30,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,IronhackEvent,Male,435.0
DA,PT,2020,2020-07-07,SAO,2020-01-29,2020-05-29,Paid Deposit,800.0,0.0,4000.0,3200.0,0,Not specified,Referral,Male,193.0
WD,PT,2018,2018-04-24,MAD,2017-11-14,2018-03-14,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,newspaperOrMagazine,Male,1120.0
WD,PT,2018,2018-04-23,MEX,2017-12-28,2018-03-15,Closed lost,0.0,0.0,3225.81,3225.81,0,Not specified,Social Media,Male,1076.0
WD,PT,2017,2017-10-24,MAD,2017-04-29,2017-09-05,Paid Deposit,650.0,0.0,6500.0,5850.0,0,Not specified,other,Female,1319.0
DA,FT,2020,2020-03-23,PAR,2020-01-29,2020-03-31,Closed lost,0.0,0.0,7500.0,6375.0,0,Not specified,google,Male,278.0
WD,FT,2020,2020-06-07,RMT-Europe,2020-09-05,2020-09-05,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,newspaperOrMagazine,Male,183.0
WD,FT,2018,2018-01-22,MEX,2017-12-29,2018-01-02,Closed lost,0.0,0.0,3225.81,3225.81,0,Not specified,courseReport,Male,1075.0
WD,FT,2017,2017-05-29,MIA,2017-04-29,2017-08-05,Paid Deposit,973.45,0.0,9734.51,8761.06,0,Not specified,Referral,Female,1319.0
UX,PT,2019,2019-10-12,BCN,2019-09-13,2019-09-30,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,google,Female,375.0
WD,FT,2020,2020-08-17,SAO,2020-09-06,2020-09-06,Closed lost,0.0,0.0,4000.0,4000.0,0,Not specified,Referral,Male,182.0
